UID 3 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 4 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 7 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 10 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 12 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 13 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 14 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 15 model_info: {'mode': 'cloud', 'name': 'deepseek-ai/DeepSeek-V3', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 16 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 17 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 18 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 19 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 20 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 21 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 22 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 23 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 24 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 25 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 26 model_info: {'mode': 'local', 'name': 'glm-4', 'version': '2024-01', 'provider': 'openai', 'parameters': {'temperature': 0.8}}
UID 27 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 28 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 29 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 30 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 31 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 32 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 33 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 34 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 35 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 36 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 37 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 38 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 39 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 40 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 41 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 42 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 43 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 44 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
UID 45 model_info: {'mode': 'cloud', 'name': 'gpt-4o-mini', 'version': None, 'provider': 'openai', 'parameters': {}}
